category,filename,source_url,source_pages,sha256,bytes
animated-sprites,animations/cats/cat-chilling-black.gif,https://mistral.ai/images/cat/cat-chilling-black.gif,https://mistral.ai/fr/products/vibe/ | https://mistral.ai/it/products/vibe/ | https://mistral.ai/products/vibe/,ddf5fe5bf49a78fd135b9ff96edae54fb673219322c7b409f47feebfbe970271,14635
animated-sprites,animations/cats/cat-sitting-black.gif,https://mistral.ai/images/cat/cat-sitting-black.gif,https://mistral.ai/ | https://mistral.ai/brand/ | https://mistral.ai/fr/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/industry/finance/ | https://mistral.ai/fr/industry/manufacturing/ | https://mistral.ai/fr/industry/public-sector/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/fr/products/compute/ | https://mistral.ai/fr/products/forge/ | https://mistral.ai/fr/products/studio/ | https://mistral.ai/fr/products/vibe/ | https://mistral.ai/fr/products/vibe/code/ | https://mistral.ai/fr/services/ | https://mistral.ai/fr/solutions/ | https://mistral.ai/fr/solutions/coding/ | https://mistral.ai/fr/solutions/custom-model-training/ | https://mistral.ai/fr/solutions/document-ai/ | https://mistral.ai/fr/solutions/speech/ | https://mistral.ai/industry/finance/ | https://mistral.ai/industry/manufacturing/ | https://mistral.ai/industry/public-sector/ | https://mistral.ai/it/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/industry/finance/ | https://mistral.ai/it/industry/manufacturing/ | https://mistral.ai/it/industry/public-sector/ | https://mistral.ai/it/models/ | https://mistral.ai/it/pricing/ | https://mistral.ai/it/products/compute/ | https://mistral.ai/it/products/forge/ | https://mistral.ai/it/products/studio/ | https://mistral.ai/it/products/vibe/ | https://mistral.ai/it/products/vibe/code/ | https://mistral.ai/it/services/ | https://mistral.ai/it/solutions/ | https://mistral.ai/it/solutions/coding/ | https://mistral.ai/it/solutions/custom-model-training/ | https://mistral.ai/it/solutions/document-ai/ | https://mistral.ai/it/solutions/speech/ | https://mistral.ai/models/ | https://mistral.ai/preview/ | https://mistral.ai/pricing/ | https://mistral.ai/products/compute/ | https://mistral.ai/products/forge/ | https://mistral.ai/products/studio/ | https://mistral.ai/products/vibe/ | https://mistral.ai/products/vibe/code/ | https://mistral.ai/services/ | https://mistral.ai/solutions/ | https://mistral.ai/solutions/coding/ | https://mistral.ai/solutions/custom-model-training/ | https://mistral.ai/solutions/document-ai/ | https://mistral.ai/solutions/speech/,6fd280f752708c03e5d3be6ce8abf0b33f546b8d170d1938c766d10eddd90cb6,22976
model-sprites,source/models/Icon-Model-7b.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-7b.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/it/brand/,20e74c86ce0bf1286b8644e7aacf6a96fe880331dcfd6a1ebb22198b211f69d2,4157
model-sprites,source/models/Icon-Model-Classifier.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Classifier.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/models/ | https://mistral.ai/it/pricing/ | https://mistral.ai/models/ | https://mistral.ai/pricing/,a16d504e9b26fc9ef997ad3fe40cb45822decc55b22bdfa327bc959d4f2d52f3,2941
model-sprites,source/models/Icon-Model-Codestral.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Codestral.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/models/ | https://mistral.ai/it/pricing/ | https://mistral.ai/models/ | https://mistral.ai/pricing/,3ec5a7e76f3a77d9e58f835cf3fdb3dda1c52f40efafb4bbcd4533aa62ac8558,1137
model-sprites,source/models/Icon-Model-Codestral_Embed.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Codestral%20Embed.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/models/ | https://mistral.ai/it/pricing/ | https://mistral.ai/models/ | https://mistral.ai/pricing/,69ac2623815744ed611b900d66510b06d405c327e82a8c3a425456ba0ee10454,1375
model-sprites,source/models/Icon-Model-Devstral.svg,Mistral brand page display asset: icons/icon-m-code-window.svg,https://mistral.ai/brand/,31c5e6335a284eed4b9cb8b47719c8045de5b81eb6b799c09bcef10e6f12cec5,1966
model-sprites,source/models/Icon-Model-Embed.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Embed.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/models/ | https://mistral.ai/it/pricing/ | https://mistral.ai/models/ | https://mistral.ai/pricing/,e2f007a4e9322fecfedec9dfbcf28abed994d2d37ac3df2549dae534b2ae2801,3714
model-sprites,source/models/Icon-Model-Large_3.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Large%203.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/news/mistral-3/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/models/ | https://mistral.ai/it/news/mistral-3/ | https://mistral.ai/it/pricing/ | https://mistral.ai/models/ | https://mistral.ai/news/mistral-3/ | https://mistral.ai/pricing/,cececa5007973898768d2c3c8add43b32f7af91c8c13d3e816471a980129d973,6750
model-sprites,source/models/Icon-Model-Leanstral.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Leanstral.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/models/ | https://mistral.ai/it/pricing/ | https://mistral.ai/models/ | https://mistral.ai/pricing/,3d6875f7b745e58bf33ce2e8ef7e595c1ed646db6f6c5dd4c7da1e49869d6b46,2083
model-sprites,source/models/Icon-Model-Magistral.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Magistral.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/pricing/ | https://mistral.ai/pricing/,838d2b66f9fbcd8df3c765e5099c53c3c9500aaa49adc59667f91ad1e4862cbb,2869
model-sprites,source/models/Icon-Model-Medium.svg,Mistral brand page display asset: model-icons/2a1ffaf3-f171-460b-be1b-fc734aa776aa.svg,https://mistral.ai/brand/,47c8d4b0bf38c886102f3ae86026e6281332688750fbef0fa0dc9a46f15b7f48,6427
model-sprites,source/models/Icon-Model-Ministraux.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Ministraux.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/news/mistral-3/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/models/ | https://mistral.ai/it/news/mistral-3/ | https://mistral.ai/it/pricing/ | https://mistral.ai/models/ | https://mistral.ai/news/mistral-3/ | https://mistral.ai/pricing/,908a596ae83e228db807115cb50fab16c7e704e03daa5228f5f58090f2a0fcfb,5486
model-sprites,source/models/Icon-Model-Moderation.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Moderation.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/models/ | https://mistral.ai/it/pricing/ | https://mistral.ai/models/ | https://mistral.ai/pricing/,f89b6a0531b9265ffa977a4a3578123fecd581bce4af1e7d7365dc64a235d832,1789
model-sprites,source/models/Icon-Model-OCR.svg,Mistral brand page display asset: model-icons/ocr.svg,https://mistral.ai/brand/,f10324dafcf0ab943d1eb0fcbfc9fc6a651a78662db1c4595d53292d2b1d9b05,1751
model-sprites,source/models/Icon-Model-Pixtral-1.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Pixtral-1.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/it/brand/,af764cec239b8fe33a14f0bcc3401cb6b30f7007e80f12fdd1758f963cf0e440,1511
model-sprites,source/models/Icon-Model-Small.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Small.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/news/mistral-small-4/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/models/ | https://mistral.ai/it/news/mistral-small-4/ | https://mistral.ai/it/pricing/ | https://mistral.ai/models/ | https://mistral.ai/news/mistral-small-4/ | https://mistral.ai/pricing/,78b9493bad8d43470522c0e69b7d0ddbf7763f4f78fd5636f2da78e8e0ae1cf1,3990
model-sprites,source/models/Icon-Model-Voxtral.svg,https://mistral.ai/cms-media/api/media/file/Icon-Model-Voxtral.svg,https://mistral.ai/brand/ | https://mistral.ai/fr/brand/ | https://mistral.ai/fr/models/ | https://mistral.ai/fr/news/voxtral-transcribe-2/ | https://mistral.ai/fr/news/voxtral-tts/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/it/brand/ | https://mistral.ai/it/models/ | https://mistral.ai/it/news/voxtral-transcribe-2/ | https://mistral.ai/it/news/voxtral-tts/ | https://mistral.ai/it/pricing/ | https://mistral.ai/models/ | https://mistral.ai/news/voxtral-transcribe-2/ | https://mistral.ai/news/voxtral-tts/ | https://mistral.ai/pricing/,5b219f3259667201aa62ee10ab8ccb82d05c89ad2390e166f9985410a100808f,8345
ui-sprites,source/ui/bag.svg,https://mistral.ai/cms-media/api/media/file/bag.svg,https://mistral.ai/ | https://mistral.ai/about/ | https://mistral.ai/fr/ | https://mistral.ai/fr/about/ | https://mistral.ai/fr/industry/finance/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/fr/solutions/ | https://mistral.ai/industry/finance/ | https://mistral.ai/it/ | https://mistral.ai/it/about/ | https://mistral.ai/it/industry/finance/ | https://mistral.ai/it/pricing/ | https://mistral.ai/it/solutions/ | https://mistral.ai/preview/ | https://mistral.ai/pricing/ | https://mistral.ai/solutions/,ac0d5ec410d13a10ed2608d18dab52125124f8f03f04a2cd06d13c495b1fe2da,2064
ui-sprites,source/ui/cubes.svg,https://mistral.ai/cms-media/api/media/file/cubes.svg,https://mistral.ai/ | https://mistral.ai/fr/ | https://mistral.ai/fr/industry/finance/ | https://mistral.ai/fr/industry/manufacturing/ | https://mistral.ai/fr/industry/public-sector/ | https://mistral.ai/industry/finance/ | https://mistral.ai/industry/manufacturing/ | https://mistral.ai/industry/public-sector/ | https://mistral.ai/it/ | https://mistral.ai/it/industry/finance/ | https://mistral.ai/it/industry/manufacturing/ | https://mistral.ai/it/industry/public-sector/ | https://mistral.ai/preview/,d98cdc3553fb8d7a4757898e3fdafbdf8ee0ec756e80ca35f7d931208665fc1f,5252
ui-sprites,source/ui/earth.svg,https://mistral.ai/cms-media/api/media/file/earth.svg,https://mistral.ai/ | https://mistral.ai/about/ | https://mistral.ai/fr/ | https://mistral.ai/fr/about/ | https://mistral.ai/fr/industry/finance/ | https://mistral.ai/fr/industry/manufacturing/ | https://mistral.ai/fr/industry/public-sector/ | https://mistral.ai/fr/pricing/ | https://mistral.ai/fr/products/vibe/code/ | https://mistral.ai/fr/solutions/ | https://mistral.ai/fr/solutions/custom-model-training/ | https://mistral.ai/fr/solutions/document-ai/ | https://mistral.ai/industry/finance/ | https://mistral.ai/industry/manufacturing/ | https://mistral.ai/industry/public-sector/ | https://mistral.ai/it/ | https://mistral.ai/it/about/ | https://mistral.ai/it/industry/finance/ | https://mistral.ai/it/industry/manufacturing/ | https://mistral.ai/it/industry/public-sector/ | https://mistral.ai/it/pricing/ | https://mistral.ai/it/products/vibe/code/ | https://mistral.ai/it/solutions/ | https://mistral.ai/it/solutions/custom-model-training/ | https://mistral.ai/it/solutions/document-ai/ | https://mistral.ai/preview/ | https://mistral.ai/pricing/ | https://mistral.ai/products/vibe/code/ | https://mistral.ai/solutions/ | https://mistral.ai/solutions/custom-model-training/ | https://mistral.ai/solutions/document-ai/,065ae94378aa643c3b65499c2678d5ba21402aec600e76faca3bb3d88192043e,4179
ui-sprites,source/ui/icon-blue-puzzle-cube.svg,https://mistral.ai/cms-media/api/media/file/icon-blue-puzzle-cube.svg,https://mistral.ai/fr/models/ | https://mistral.ai/fr/solutions/custom-model-training/ | https://mistral.ai/it/models/ | https://mistral.ai/it/solutions/custom-model-training/ | https://mistral.ai/models/ | https://mistral.ai/solutions/custom-model-training/,2d319993ce4868614fadb33215ddec8f144b74d0a828b66821b5ebca2137f7b2,8878
ui-sprites,source/ui/icon-building.svg,https://mistral.ai/cms-media/api/media/file/icon-building.svg,https://mistral.ai/fr/products/vibe/ | https://mistral.ai/it/products/vibe/ | https://mistral.ai/products/vibe/,43ccff09871688f30c2c99bed057a9b7b26b59ead40b91ea42b6434d5ef07510,2999
ui-sprites,source/ui/icon-bullhorn.svg,https://mistral.ai/cms-media/api/media/file/icon-bullhorn.svg,https://mistral.ai/fr/solutions/speech/ | https://mistral.ai/it/solutions/speech/ | https://mistral.ai/solutions/speech/,4ba4d764ebf58bbda70b8d72a91b0c43bb012c974163649cab5b3830a1389480,2689
ui-sprites,source/ui/icon-capitol-building.webp,https://mistral.ai/_astro/icon-capitol-building_2lULTh.webp?dpl=6a3ad1d1ddeeff3ec7c9cb8e,https://mistral.ai/fr/industry/public-sector/ | https://mistral.ai/fr/solutions/custom-model-training/ | https://mistral.ai/fr/solutions/speech/ | https://mistral.ai/industry/public-sector/ | https://mistral.ai/it/industry/public-sector/ | https://mistral.ai/it/solutions/custom-model-training/ | https://mistral.ai/it/solutions/speech/ | https://mistral.ai/solutions/custom-model-training/ | https://mistral.ai/solutions/speech/,d5cb0427853c9037e34552aab4d274b1b95b74734fc887822346cf3cce7bb714,2974
ui-sprites,source/ui/icon-car.svg,https://mistral.ai/cms-media/api/media/file/icon-car.svg,https://mistral.ai/fr/solutions/speech/ | https://mistral.ai/it/solutions/speech/ | https://mistral.ai/solutions/speech/,1dc5161eba7c17bd688e3a3df3ff0afb4feb0e088cae348fe02c8b434b520b08,4255
ui-sprites,source/ui/icon-crown.svg,https://mistral.ai/cms-media/api/media/file/icon-crown.svg,https://mistral.ai/fr/industry/manufacturing/ | https://mistral.ai/fr/solutions/coding/ | https://mistral.ai/fr/solutions/custom-model-training/ | https://mistral.ai/industry/manufacturing/ | https://mistral.ai/it/industry/manufacturing/ | https://mistral.ai/it/solutions/coding/ | https://mistral.ai/it/solutions/custom-model-training/ | https://mistral.ai/solutions/coding/ | https://mistral.ai/solutions/custom-model-training/,aea9375cc23c821c9736fb3e23a21c8efcd6d97e0a9678072c6a42c26b192280,13522
ui-sprites,source/ui/icon-education.svg,https://mistral.ai/cms-media/api/media/file/icon-education.svg,https://mistral.ai/fr/pricing/ | https://mistral.ai/it/pricing/ | https://mistral.ai/pricing/,3ad00aad92dd1a4aef26fde114948fb2ef342f37257ed643348ce4c4d5e89088,5388
ui-sprites,source/ui/icon-flower-pot.svg,https://mistral.ai/cms-media/api/media/file/icon-flower-pot.svg,https://mistral.ai/fr/solutions/custom-model-training/ | https://mistral.ai/it/solutions/custom-model-training/ | https://mistral.ai/solutions/custom-model-training/,ab679e74d9429ae565642b78a3e5bcdccea785d54b9731d88b6d205f290c636d,3099
